time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-07,top_k,3,degree_centrality_z,4,"[1466547, 2407079, 54577410, 56876367]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2407079],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[2407079, 5232921, 18594548, 54577410]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2407079],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[2407079, 8223630, 16902920, 17025285]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[8223630, 17025285]",0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[2407079, 5232921, 8223630, 54577410]",1,[2407079],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[54577410],0,[],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[1466547, 2407079, 5232921, 48930705]",1,[2407079],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,2,"[1466547, 48930705]",0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[883764, 2407079, 17025285, 48930705]",1,[2407079],1,[2407079],,3
2023-01,z_thresh,3,degree_centrality_z,1,[48930705],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[3786013, 6871512, 48930705]",0,[],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[6871512],0,[],0,[],2,
