time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,5,"[22526, 39680, 110280, 1759228, 3785409]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[110280],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[31269, 35194, 232901, 3785409, 6876555, 7118930]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[31269],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[26672, 31269, 746078, 7118930]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[26672, 746078]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[31269, 462730, 1620799]",1,[31269],1,[31269],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1620799],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[19938, 44062, 110280, 541401, 1408507]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[110280],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[19938, 167319, 4040184]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[167319],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[769730, 1020383, 2169884]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2169884],0,[],0,[],2,
