time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-07,top_k,3,degree_centrality_z,3,"[6996955, 9065325, 28320361]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,3,"[6996955, 9065325, 28320361]",0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[5985076, 9065325, 28320361]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,7,"[477636, 807898, 5985076, 6996955, 9065325, 28320361, 34355042]",0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[5985076, 9065325, 28320361]",2,"[9065325, 28320361]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,6,"[477636, 807898, 5985076, 9065325, 28320361, 34355042]",2,"[9065325, 28320361]",0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[5985076, 9065325, 28320361]",3,"[5985076, 9065325, 28320361]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,11,"[464212, 477636, 807898, 838406, 5085265, 5985076, 6996955, 8679102, 9065325, 28320361, 34355042]",6,"[477636, 807898, 5985076, 9065325, 28320361, 34355042]",0,[],2,
2019-07,top_k,3,degree_centrality_z,4,"[838406, 5085265, 6877802, 26384082]",0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,12,"[464212, 838406, 1356616, 5085265, 5985076, 6877802, 6887965, 9065325, 11571300, 26384082, 28320361, 34355042]",4,"[5985076, 9065325, 28320361, 34355042]",0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[1356616, 6877802, 33595554]",0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,12,"[838406, 1356616, 5085265, 5985076, 6877802, 6887965, 9065325, 11571300, 26384082, 28320361, 33595554, 54679309]",5,"[838406, 5085265, 5985076, 9065325, 28320361]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[6877802, 28320361, 54679309]",1,[6877802],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,10,"[1356616, 4769575, 5085265, 6877802, 9065325, 11571300, 22311228, 28320361, 34355042, 54679309]",6,"[1356616, 5085265, 6877802, 9065325, 11571300, 28320361]",0,[],2,
2021-01,top_k,3,degree_centrality_z,4,"[5085265, 6877802, 28320361, 41898282]",1,[6877802],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,4,"[5085265, 6877802, 28320361, 41898282]",3,"[5085265, 6877802, 28320361]",0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[5085265, 12580982, 41898282]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,9,"[4769575, 5085265, 11571300, 12580982, 22311228, 26384082, 28320361, 41898282, 54679309]",2,"[5085265, 28320361]",0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[26384082, 41898282, 76960110]",1,[41898282],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,5,"[12580982, 26384082, 41898282, 76960110, 92821409]",1,[41898282],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[26384082, 41898282, 76960110]",1,[41898282],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,3,"[26384082, 41898282, 76960110]",2,"[26384082, 41898282]",0,[],2,
2023-01,top_k,3,degree_centrality_z,4,"[11571300, 26384082, 41898282, 76960110]",3,"[26384082, 41898282, 76960110]",0,[],,3
2023-01,z_thresh,3,degree_centrality_z,2,"[11571300, 76960110]",1,[76960110],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[11571300, 41898282, 76960110]",2,"[41898282, 76960110]",0,[],,3
2023-07,z_thresh,3,degree_centrality_z,2,"[41898282, 76960110]",1,[76960110],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[11571300, 41898282, 76960110, 122620276]",3,"[11571300, 41898282, 76960110]",0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[41898282],0,[],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[11571300, 41898282, 76960110]",3,"[11571300, 41898282, 76960110]",0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[41898282],1,[41898282],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[11571300, 13091566, 41898282]",2,"[11571300, 41898282]",0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[41898282],1,[41898282],0,[],2,
