time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[306380, 321534, 6631310]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[321534],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,6,"[221256, 321534, 628500, 1136916, 6631310, 13226043]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[321534],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,4,"[321534, 1680079, 6631310, 10009354]",2,"[321534, 6631310]",0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[321534, 6631310]",1,[321534],0,[],2,
2016-07,top_k,3,degree_centrality_z,5,"[321534, 526577, 578872, 684364, 6631310]",2,"[321534, 6631310]",0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[321534, 501585, 6631310, 14807032]",2,"[321534, 6631310]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2017-07,top_k,3,degree_centrality_z,10,"[321534, 331170, 526577, 1326248, 1401239, 2955615, 5635139, 6631310, 8102496, 14874596]",2,"[321534, 6631310]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[321534, 3769612, 6631310]",2,"[321534, 6631310]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2018-07,top_k,3,degree_centrality_z,12,"[321534, 1889260, 2470165, 6432725, 6631310, 8024926, 11166016, 16193272, 20990866, 22162471, 22644885, 27725327]",2,"[321534, 6631310]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[321534, 3769177, 6631310, 13664682]",2,"[321534, 6631310]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[321534, 1285728, 6631310, 9408864, 22429695]",2,"[321534, 6631310]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2020-01,top_k,3,degree_centrality_z,3,"[321534, 968934, 1771820]",1,[321534],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[321534, 6631310, 9031101]",1,[321534],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2021-01,top_k,3,degree_centrality_z,18,"[15092, 51317, 71486, 83442, 165937, 321534, 473456, 1577620, 6610051, 6631310, 11183473, 12493875, 15638895, 21027513, 37582022, 41449597, 45745033, 54881218]",1,[321534],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[321534, 42706068, 84335963]",1,[321534],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[321534, 42706068]",1,[321534],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[321534, 8434367, 42706068]",1,[321534],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,2,"[321534, 42706068]",1,[321534],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[321534, 8434367, 42706068]",2,"[321534, 42706068]",0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2023-01,top_k,3,degree_centrality_z,8,"[321534, 1318438, 8434367, 9408864, 31284574, 32613608, 42706068, 53145846]",3,"[321534, 8434367, 42706068]",1,[8434367],,3
2023-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2023-07,top_k,3,degree_centrality_z,7,"[321534, 715724, 1318438, 1324225, 2745502, 8370601, 42057745]",1,[321534],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2024-01,top_k,3,degree_centrality_z,17,"[63636, 321534, 1318438, 1421685, 5416288, 6898909, 7037935, 7871125, 8435071, 9408864, 9985286, 13963825, 14911686, 29572918, 44655289, 47358913, 79979149]",2,"[321534, 1318438]",1,[1318438],,3
2024-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2024-07,top_k,3,degree_centrality_z,10,"[110765, 321534, 3105306, 5938179, 15776622, 25335703, 42706068, 85442067, 90491805, 132649319]",1,[321534],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
2025-01,top_k,3,degree_centrality_z,12,"[110765, 321534, 1586755, 2401856, 14854647, 21321343, 27844407, 62634767, 85442067, 98061329, 135739773, 192940407]",1,[321534],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[321534],1,[321534],0,[],2,
