time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,3,"[26336, 8655789, 16239342]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,5,"[26336, 219043, 8655789, 16239342, 29791463]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[8655789],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[26336, 8655789, 16239342]",3,"[26336, 8655789, 16239342]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[8655789],1,[8655789],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[26336, 8655789, 27856297]",2,"[26336, 8655789]",1,[8655789],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[26336, 8655789, 27856297]",1,[8655789],1,[8655789],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[26336, 22429695, 27856297]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[26336, 22429695, 49699333]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[22429695],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[26336, 157140, 22429695, 49699333]",2,"[26336, 22429695]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[26336, 22429695]",1,[22429695],0,[],2,
2022-01,top_k,3,degree_centrality_z,4,"[26336, 11571300, 22429695, 49699333]",3,"[26336, 22429695, 49699333]",0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[22429695],1,[22429695],0,[],2,
2022-07,top_k,3,degree_centrality_z,3,"[26336, 11571300, 12222295]",1,[26336],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,3,"[26336, 11571300, 12222295]",0,[],0,[],2,
