time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2016-07,top_k,3,degree_centrality_z,4,"[1815, 238933, 1154044, 2576940]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[238933],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,8,"[57712, 106457, 238933, 1059947, 1840160, 2354108, 14959427, 17755003]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,5,"[238933, 362717, 425499, 2354108, 5189409]",1,[238933],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2354108],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[238933, 2354108, 11963090]",2,"[238933, 2354108]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[238933, 2354108]",1,[2354108],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[238933, 2354108, 24736507]",2,"[238933, 2354108]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[238933, 2354108]",1,[2354108],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[238933, 2354108, 24736507]",2,"[238933, 2354108]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[238933, 2354108, 24736507]",3,"[238933, 2354108, 24736507]",1,[24736507],,3
2019-07,z_thresh,3,degree_centrality_z,2,"[238933, 2354108]",1,[2354108],0,[],2,
2020-01,top_k,3,degree_centrality_z,5,"[182122, 238933, 768346, 1174343, 2354108]",2,"[238933, 2354108]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[25349, 238933, 411993, 2354108, 9847380]",2,"[238933, 2354108]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2354108],1,[2354108],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[238933, 353311, 61286277]",1,[238933],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[238933],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[238933, 25407622, 61286277]",1,[238933],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[238933],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,6,"[238933, 2169921, 13301367, 13724985, 33377150, 39576385]",1,[238933],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[238933],1,[238933],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[146369, 238933, 4641317, 13724985]",1,[238933],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[238933],1,[238933],0,[],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,3,"[238933, 16663028, 29292466]",0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[238933],0,[],0,[],2,
