time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,3,"[1229983, 1556054, 7742152]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[1556054],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,4,"[1229983, 1556054, 2544362, 7943652]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1556054],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,3,"[1229983, 1556054, 8655789]",2,"[1229983, 1556054]",0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[1556054],1,[1556054],0,[],2,
2016-07,top_k,3,degree_centrality_z,6,"[1556054, 2544362, 3327253, 8655789, 9115296, 12156543]",1,[1556054],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[1556054],1,[1556054],0,[],2,
2017-01,top_k,3,degree_centrality_z,4,"[1556054, 5125916, 6697940, 8655789]",2,"[1556054, 8655789]",0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[1556054],1,[1556054],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 8655789]",0,[],,3
2017-07,z_thresh,3,degree_centrality_z,2,"[1556054, 3286092]",1,[1556054],0,[],2,
2018-01,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 8655789]",0,[],,3
2018-01,z_thresh,3,degree_centrality_z,2,"[1556054, 8655789]",1,[1556054],0,[],2,
2018-07,top_k,3,degree_centrality_z,3,"[1556054, 8655789, 17930851]",2,"[1556054, 8655789]",0,[],,3
2018-07,z_thresh,3,degree_centrality_z,2,"[1556054, 8655789]",1,[1556054],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 8655789]",0,[],,3
2019-01,z_thresh,3,degree_centrality_z,2,"[1556054, 8655789]",2,"[1556054, 8655789]",0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 8655789]",0,[],,3
2019-07,z_thresh,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 8655789]",0,[],2,
2020-01,top_k,3,degree_centrality_z,4,"[1556054, 1937610, 3286092, 8655789]",3,"[1556054, 3286092, 8655789]",0,[],,3
2020-01,z_thresh,3,degree_centrality_z,2,"[1556054, 8655789]",2,"[1556054, 8655789]",0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 28941307]",2,"[1556054, 3286092]",0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[1556054],1,[1556054],0,[],2,
2021-01,top_k,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",2,"[1556054, 3286092]",0,[],,3
2021-01,z_thresh,3,degree_centrality_z,3,"[1556054, 3286092, 8655789]",1,[1556054],0,[],2,
2021-07,top_k,3,degree_centrality_z,4,"[1556054, 3286092, 17313425, 65553080]",2,"[1556054, 3286092]",0,[],,3
2021-07,z_thresh,3,degree_centrality_z,2,"[1556054, 65553080]",1,[1556054],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[1556054, 10618381, 65553080]",1,[1556054],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,3,"[1556054, 10618381, 65553080]",1,[1556054],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[1556054, 5856259, 30008653, 49217822]",1,[1556054],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[49217822],0,[],0,[],2,
2023-01,top_k,3,degree_centrality_z,5,"[10618381, 28430455, 49217822, 49699333, 100331270]",0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[49217822],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,5,"[1556054, 6907475, 10618381, 35395861, 49217822]",1,[49217822],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[49217822],1,[49217822],0,[],2,
2024-01,top_k,3,degree_centrality_z,4,"[5423265, 6672196, 48823708, 49217822]",1,[49217822],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[49217822],1,[49217822],0,[],2,
2024-07,top_k,3,degree_centrality_z,3,"[3709715, 10618381, 49217822]",1,[49217822],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[49217822],1,[49217822],0,[],2,
2025-01,top_k,3,degree_centrality_z,3,"[10618381, 22429695, 49217822]",1,[49217822],0,[],,3
2025-01,z_thresh,3,degree_centrality_z,1,[10618381],0,[],0,[],2,
