time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2020-07,top_k,3,degree_centrality_z,4,"[4665485, 8588341, 19656808, 21178372]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[4665485],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,11,"[57440, 1082912, 4303278, 4665485, 5019234, 25569117, 26953820, 32584341, 32935233, 53115668, 70721363]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[4665485],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,15,"[4665485, 17309733, 17589933, 22996444, 26274000, 26636184, 32584341, 36023059, 52331312, 52883444, 53145192, 54015474, 61319036, 64788402, 88095858]",1,[4665485],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[4665485, 41239437, 45105413]",1,[4665485],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2022-07,top_k,3,degree_centrality_z,6,"[732344, 4665485, 9269816, 98843913, 101572593, 102064924]",1,[4665485],0,[],,3
2022-07,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2023-01,top_k,3,degree_centrality_z,6,"[4665485, 43312622, 53292276, 57814930, 123378500, 129294624]",1,[4665485],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2023-07,top_k,3,degree_centrality_z,6,"[4665485, 5083518, 29531977, 43312622, 76536999, 103960930]",1,[4665485],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[111152, 4665485, 40974987]",1,[4665485],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
2024-07,top_k,3,degree_centrality_z,4,"[4665485, 5083518, 26105224, 58304272]",1,[4665485],0,[],,3
2024-07,z_thresh,3,degree_centrality_z,1,[4665485],1,[4665485],0,[],2,
