time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-01,top_k,3,degree_centrality_z,4,"[515889, 671366, 2311501, 2733986]",0,[],0,[],,3
2015-01,z_thresh,3,degree_centrality_z,1,[2733986],0,[],0,[],2,
2015-07,top_k,3,degree_centrality_z,3,"[776747, 925060, 2733986]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[2733986],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,7,"[79732, 515889, 703554, 2733986, 4731083, 10094428, 10420338]",1,[2733986],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2016-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,5,"[40444, 148379, 671366, 2733986, 8818267]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[2733986],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,3,"[2733986, 6730980, 8826684]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[2733986],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,8,"[11764, 671366, 1006477, 2210118, 2733986, 10854961, 17746268, 35006433]",1,[2733986],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[1381982, 2733986, 2903870, 33664673]",1,[2733986],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2019-01,top_k,3,degree_centrality_z,11,"[302469, 1381982, 2210118, 2733986, 2903870, 3264637, 6011991, 17746268, 21351065, 22361972, 35110188]",1,[2733986],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2019-07,top_k,3,degree_centrality_z,6,"[478143, 619106, 2733986, 7551586, 15960782, 21351065]",1,[2733986],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2020-01,top_k,3,degree_centrality_z,9,"[197091, 619106, 974662, 1006477, 2733986, 3972343, 5050994, 6011991, 22258680]",1,[2733986],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2020-07,top_k,3,degree_centrality_z,10,"[478143, 776747, 2733986, 4202567, 5050994, 7551586, 7665232, 14254085, 15960782, 16394660]",1,[2733986],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2021-01,top_k,3,degree_centrality_z,5,"[89186, 2733986, 3019665, 17721563, 64558956]",1,[2733986],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2021-07,top_k,3,degree_centrality_z,7,"[128628, 1006477, 2733986, 5097613, 13689192, 21225159, 35110188]",1,[2733986],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[826841, 2733986, 5097613]",1,[2733986],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],0,[],2,
2022-07,top_k,3,degree_centrality_z,4,"[128628, 1175567, 2733986, 11963792]",1,[2733986],1,[2733986],,3
2022-07,z_thresh,3,degree_centrality_z,1,[2733986],1,[2733986],1,[2733986],2,
2023-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2023-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2023-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2024-01,top_k,3,degree_centrality_z,3,"[5488440, 9335726, 38734060]",0,[],0,[],,3
2024-01,z_thresh,3,degree_centrality_z,1,[38734060],0,[],0,[],2,
