time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2017-01,top_k,3,degree_centrality_z,3,"[83586, 384223, 7323495]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[7323495],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,4,"[765896, 3533182, 7323495, 24614209]",0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,1,[7323495],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[651203, 3533182, 6819243, 7323495]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[7323495],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,3,"[67428, 1724818, 7323495]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[7323495],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,5,"[250071, 333807, 1109959, 2451611, 7323495]",1,[7323495],1,[7323495],,3
2019-07,z_thresh,3,degree_centrality_z,1,[7323495],1,[7323495],1,[7323495],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,3,"[7258858, 10009354, 22739054]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[10009354],0,[],0,[],2,
