time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2019-01,top_k,3,degree_centrality_z,6,"[201296, 1554778, 10981580, 17194244, 25968054, 28938321]",0,[],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[201296],0,[],0,[],2,
2019-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2020-07,top_k,3,degree_centrality_z,3,"[201296, 47891198, 55121974]",0,[],0,[],,3
2020-07,z_thresh,3,degree_centrality_z,1,[201296],0,[],0,[],2,
2021-01,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2021-07,top_k,3,degree_centrality_z,5,"[201296, 1554778, 3407067, 10981580, 55329664]",0,[],0,[],,3
2021-07,z_thresh,3,degree_centrality_z,1,[201296],0,[],0,[],2,
2022-01,top_k,3,degree_centrality_z,3,"[201296, 6987220, 8680264]",0,[],0,[],,3
2022-01,z_thresh,3,degree_centrality_z,1,[201296],0,[],0,[],2,
