time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2018-01,top_k,3,degree_centrality_z,4,"[9737437, 18065074, 18584660, 25438575]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[18065074],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[11191137, 13213123, 18065074, 42486224]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[18065074],0,[],0,[],2,
2019-01,top_k,3,degree_centrality_z,4,"[1572804, 18065074, 38547194, 42725991]",1,[18065074],0,[],,3
2019-01,z_thresh,3,degree_centrality_z,1,[18065074],1,[18065074],0,[],2,
2019-07,top_k,3,degree_centrality_z,3,"[16507126, 18065074, 39243729]",1,[18065074],0,[],,3
2019-07,z_thresh,3,degree_centrality_z,1,[18065074],1,[18065074],0,[],2,
2020-01,top_k,3,degree_centrality_z,14,"[2031281, 7281883, 12731435, 17865702, 18065074, 18584660, 20637083, 30023826, 36284614, 41846794, 50828472, 53255163, 54479242, 59643875]",1,[18065074],0,[],,3
2020-01,z_thresh,3,degree_centrality_z,1,[18065074],1,[18065074],0,[],2,
2020-07,top_k,3,degree_centrality_z,5,"[18065074, 30023826, 44150108, 48670012, 63758849]",1,[18065074],1,[18065074],,3
2020-07,z_thresh,3,degree_centrality_z,1,[18065074],1,[18065074],1,[18065074],2,
2021-01,top_k,3,degree_centrality_z,3,"[5358783, 12407957, 20637083]",0,[],0,[],,3
2021-01,z_thresh,3,degree_centrality_z,1,[5358783],0,[],0,[],2,
