time_period,mode,consecutive_req,centrality_col,num_important,important_actors,num_important_qualified,important_qualified_actors,num_dropouts,dropouts_actors,z_thresh,top_k
2015-07,top_k,3,degree_centrality_z,3,"[1240015, 1313935, 8311482]",0,[],0,[],,3
2015-07,z_thresh,3,degree_centrality_z,1,[1240015],0,[],0,[],2,
2016-01,top_k,3,degree_centrality_z,6,"[209767, 1084792, 1240015, 1313935, 14095191, 15792281]",0,[],0,[],,3
2016-01,z_thresh,3,degree_centrality_z,2,"[209767, 1084792]",0,[],0,[],2,
2016-07,top_k,3,degree_centrality_z,3,"[58212, 209767, 15792281]",0,[],0,[],,3
2016-07,z_thresh,3,degree_centrality_z,1,[58212],0,[],0,[],2,
2017-01,top_k,3,degree_centrality_z,3,"[58212, 1915510, 22471465]",0,[],0,[],,3
2017-01,z_thresh,3,degree_centrality_z,1,[22471465],0,[],0,[],2,
2017-07,top_k,3,degree_centrality_z,0,[],0,[],0,[],,3
2017-07,z_thresh,3,degree_centrality_z,0,[],0,[],0,[],2,
2018-01,top_k,3,degree_centrality_z,7,"[717719, 923893, 1240015, 1616075, 1915510, 4982858, 11136293]",0,[],0,[],,3
2018-01,z_thresh,3,degree_centrality_z,1,[1240015],0,[],0,[],2,
2018-07,top_k,3,degree_centrality_z,4,"[58212, 1240015, 5371793, 39273383]",0,[],0,[],,3
2018-07,z_thresh,3,degree_centrality_z,1,[1240015],0,[],0,[],2,
