File: drive/output/derived/org_outcomes_practices/org_outcomes/kriffx___robotframework-xray.parquet

MD5 hash: 943f3c77ae929441c4bcfce166133585

Keys: time_period 

                                           type  count                 mean                  min                  25%                  50%                  75%                  max           std
time_period                      datetime64[ns]      3  2024-07-01 16:00:00  2024-01-01 00:00:00  2024-04-01 00:00:00  2024-07-01 00:00:00  2024-10-01 00:00:00  2025-01-01 00:00:00              
issue_closed                            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
issue_opened                            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
pull_request_merged                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
pull_request_opened                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
num_downloads                             int64      3          9700.666667                808.0               1678.0               2548.0              14147.0              25746.0  13922.874751
overall_new_release_count               float64      1                 82.0                 82.0                 82.0                 82.0                 82.0                 82.0              
major_new_release_count                 float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0              
minor_new_release_count                 float64      1                 14.0                 14.0                 14.0                 14.0                 14.0                 14.0              
patch_new_release_count                 float64      1                 15.0                 15.0                 15.0                 15.0                 15.0                 15.0              
other_new_release_count                 float64      1                 50.0                 50.0                 50.0                 50.0                 50.0                 50.0              
major_minor_release_count               float64      1                 17.0                 17.0                 17.0                 17.0                 17.0                 17.0              
major_minor_patch_release_count         float64      1                 32.0                 32.0                 32.0                 32.0                 32.0                 32.0              

