File: drive/output/derived/org_outcomes_practices/org_outcomes/org-not-included___py-github-helper.parquet

MD5 hash: 730e0c763f8bf642674e8cadee65f2d9

Keys: time_period 

                                           type  count                 mean                  min                  25%                  50%                  75%                  max           std
time_period                      datetime64[ns]      6  2023-10-01 08:00:00  2022-07-01 00:00:00  2023-02-15 06:00:00  2023-10-01 00:00:00  2024-05-16 12:00:00  2025-01-01 00:00:00              
issue_opened                            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
pull_request_closed                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
num_downloads                             int64      6         81634.833333               6060.0               9230.5              47485.0            141601.75             219326.0  90742.801657
overall_new_release_count               float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0              
major_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
minor_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
patch_new_release_count                 float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0              
other_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
major_minor_release_count               float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
major_minor_patch_release_count         float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0              

