File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/ai-hypercomputer___pathways-utils.parquet

MD5 hash: 77dd22741046050d9b6277be9e813608

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00  2025-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.230769             1.230769             1.230769             1.230769             1.230769             1.230769    
pct_members_multiple                              float64      1             0.230769             0.230769             0.230769             0.230769             0.230769             0.230769    
proj_hhi_discussion_comment                       float64      1             0.585799             0.585799             0.585799             0.585799             0.585799             0.585799    
proj_hhi_pull_request_closed                      float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_comment                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged                      float64      1             0.687825             0.687825             0.687825             0.687825             0.687825             0.687825    
proj_hhi_pull_request_opened                      float64      1             0.684917             0.684917             0.684917             0.684917             0.684917             0.684917    
proj_hhi_pull_request_review                      float64      1             0.538462             0.538462             0.538462             0.538462             0.538462             0.538462    
proj_hhi_pull_request_review_comment              float64      1             0.749135             0.749135             0.749135             0.749135             0.749135             0.749135    
proj_prob_hhi_discussion_comment                  float64      1             0.783654             0.783654             0.783654             0.783654             0.783654             0.783654    
proj_prob_hhi_pull_request_comment                float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_review                 float64      1             0.664336             0.664336             0.664336             0.664336             0.664336             0.664336    
proj_prob_hhi_pull_request_review_comment         float64      1             0.751838             0.751838             0.751838             0.751838             0.751838             0.751838    
num_active_members                                  Int64      1                  6.0                  6.0                  6.0                  6.0                  6.0                  6.0    

