File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/bwinkel___pycraf.parquet

MD5 hash: a19b12b8075d8cf97952add5dcbb2c47

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00  2020-01-01 00:00:00    
avg_members_per_problem                    float64      1             1.571429             1.571429             1.571429             1.571429             1.571429             1.571429    
pct_members_multiple                       float64      1             0.571429             0.571429             0.571429             0.571429             0.571429             0.571429    
proj_hhi_discussion_comment                float64      1              0.55102              0.55102              0.55102              0.55102              0.55102              0.55102    
proj_hhi_pull_request_comment              float64      1              0.55102              0.55102              0.55102              0.55102              0.55102              0.55102    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.387755             0.387755             0.387755             0.387755             0.387755             0.387755    
proj_prob_hhi_discussion_comment           float64      1             0.785714             0.785714             0.785714             0.785714             0.785714             0.785714    
proj_prob_hhi_pull_request_comment         float64      1             0.785714             0.785714             0.785714             0.785714             0.785714             0.785714    
num_active_members                           Int64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0    

