File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/crflynn___skranger.parquet

MD5 hash: 01070f1c836daa75f60edfcf0298d071

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.090909             1.090909             1.090909             1.090909             1.090909             1.090909    
pct_members_multiple                              float64      1             0.090909             0.090909             0.090909             0.090909             0.090909             0.090909    
proj_hhi_discussion_comment                       float64      1             0.479592             0.479592             0.479592             0.479592             0.479592             0.479592    
proj_hhi_pull_request_closed                      float64      1                 0.68                 0.68                 0.68                 0.68                 0.68                 0.68    
proj_hhi_pull_request_comment                     float64      1             0.346939             0.346939             0.346939             0.346939             0.346939             0.346939    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1             0.913223             0.913223             0.913223             0.913223             0.913223             0.913223    
proj_hhi_pull_request_review                      float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_hhi_pull_request_review_comment              float64      1             0.755102             0.755102             0.755102             0.755102             0.755102             0.755102    
proj_prob_hhi_discussion_comment                  float64      1             0.678571             0.678571             0.678571             0.678571             0.678571             0.678571    
proj_prob_hhi_pull_request_comment                float64      1             0.657143             0.657143             0.657143             0.657143             0.657143             0.657143    
proj_prob_hhi_pull_request_review                 float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_prob_hhi_pull_request_review_comment         float64      1             0.755102             0.755102             0.755102             0.755102             0.755102             0.755102    
num_active_members                                  Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

