File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/durandtibo___arctix.parquet

MD5 hash: 2a58ff5d36a782b8f9988b56f8c3d3cf

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2024-01-01 00:00:00  2024-01-01 00:00:00  2024-01-01 00:00:00  2024-01-01 00:00:00  2024-01-01 00:00:00  2024-01-01 00:00:00    
avg_members_per_problem                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
pct_members_multiple                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0    
proj_hhi_discussion_comment                float64      1              0.87689              0.87689              0.87689              0.87689              0.87689              0.87689    
proj_hhi_pull_request_closed               float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_comment              float64      1              0.87689              0.87689              0.87689              0.87689              0.87689              0.87689    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1             0.636358             0.636358             0.636358             0.636358             0.636358             0.636358    
proj_hhi_pull_request_review               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.967391             0.967391             0.967391             0.967391             0.967391             0.967391    
proj_prob_hhi_pull_request_comment         float64      1             0.967391             0.967391             0.967391             0.967391             0.967391             0.967391    
proj_prob_hhi_pull_request_review          float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
num_active_members                           Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

