File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/henry0312___pytest-pydocstyle.parquet

MD5 hash: e15b1ff66800d4790e4b0022f39c3727

Keys: time_period 

                                            type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                       datetime64[ns]      1  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00    
avg_members_per_problem                  float64      1             1.266667             1.266667             1.266667             1.266667             1.266667             1.266667    
pct_members_multiple                     float64      1             0.266667             0.266667             0.266667             0.266667             0.266667             0.266667    
proj_hhi_discussion_comment              float64      1              0.55102              0.55102              0.55102              0.55102              0.55102              0.55102    
proj_hhi_issue_closed                    float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_hhi_issue_comment                   float64      1              0.55102              0.55102              0.55102              0.55102              0.55102              0.55102    
proj_hhi_issue_opened                    float64      1                0.375                0.375                0.375                0.375                0.375                0.375    
proj_hhi_pull_request_merged             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment         float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667    
proj_prob_hhi_issue_comment              float64      1             0.666667             0.666667             0.666667             0.666667             0.666667             0.666667    
num_active_members                         Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

