File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/kyrus___python-junit-xml.parquet

MD5 hash: 312613200575d51fe3c52bc1a14254c8

Keys: time_period 

                                              type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                         datetime64[ns]      1  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00  2019-07-01 00:00:00    
avg_members_per_problem                    float64      1             1.909091             1.909091             1.909091             1.909091             1.909091             1.909091    
pct_members_multiple                       float64      1             0.909091             0.909091             0.909091             0.909091             0.909091             0.909091    
proj_hhi_discussion_comment                float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_comment              float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_hhi_pull_request_merged               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened               float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_discussion_comment           float64      1             0.595238             0.595238             0.595238             0.595238             0.595238             0.595238    
proj_prob_hhi_pull_request_comment         float64      1             0.595238             0.595238             0.595238             0.595238             0.595238             0.595238    
num_active_members                           Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

