File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/microsoft___vsts-cd-manager.parquet

MD5 hash: 1e516d23661abbb7bde885494cfda362

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00    
avg_members_per_problem                           float64      1                  1.5                  1.5                  1.5                  1.5                  1.5                  1.5    
pct_members_multiple                              float64      1                0.375                0.375                0.375                0.375                0.375                0.375    
proj_hhi_discussion_comment                       float64      1             0.420415             0.420415             0.420415             0.420415             0.420415             0.420415    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_review_comment              float64      1             0.404297             0.404297             0.404297             0.404297             0.404297             0.404297    
proj_prob_hhi_discussion_comment                  float64      1             0.742577             0.742577             0.742577             0.742577             0.742577             0.742577    
proj_prob_hhi_pull_request_comment                float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_prob_hhi_pull_request_review_comment         float64      1             0.734821             0.734821             0.734821             0.734821             0.734821             0.734821    
num_active_members                                  Int64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0    

