File: drive/output/derived/org_outcomes_practices/repo_collaboration/important_degree_top3/rolling5/patrick-kidger___torchtyping.parquet

MD5 hash: e0cc136336a25690f359d3ccba9a2d32

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00  2021-01-01 00:00:00    
avg_members_per_problem                           float64      1             1.555556             1.555556             1.555556             1.555556             1.555556             1.555556    
pct_members_multiple                              float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
proj_hhi_discussion_comment                       float64      1                 0.52                 0.52                 0.52                 0.52                 0.52                 0.52    
proj_hhi_pull_request_closed                      float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
proj_hhi_pull_request_comment                     float64      1             0.502959             0.502959             0.502959             0.502959             0.502959             0.502959    
proj_hhi_pull_request_merged                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_opened                      float64      1             0.234568             0.234568             0.234568             0.234568             0.234568             0.234568    
proj_hhi_pull_request_review                      float64      1                0.625                0.625                0.625                0.625                0.625                0.625    
proj_hhi_pull_request_review_comment              float64      1             0.591837             0.591837             0.591837             0.591837             0.591837             0.591837    
proj_prob_hhi_discussion_comment                  float64      1             0.657778             0.657778             0.657778             0.657778             0.657778             0.657778    
proj_prob_hhi_pull_request_comment                float64      1             0.630769             0.630769             0.630769             0.630769             0.630769             0.630769    
proj_prob_hhi_pull_request_review                 float64      1             0.642857             0.642857             0.642857             0.642857             0.642857             0.642857    
proj_prob_hhi_pull_request_review_comment         float64      1             0.714286             0.714286             0.714286             0.714286             0.714286             0.714286    
num_active_members                                  Int64      1                  5.0                  5.0                  5.0                  5.0                  5.0                  5.0    

