File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/important_degree_z2/rolling5/polyaxon___mloperator.parquet

MD5 hash: f160e591786fcefc99fff3218d2efdab

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      6  2020-01-31 00:00:00  2018-07-01 00:00:00  2019-02-15 06:00:00  2019-10-01 00:00:00  2020-05-16 12:00:00  2023-01-01 00:00:00     
response_rate                                         float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
mean_days_to_respond                                  float64      1             0.003553             0.003553             0.003553             0.003553             0.003553             0.003553     
pos_sentiment_avg                                     float64      1             0.108167             0.108167             0.108167             0.108167             0.108167             0.108167     
neg_sentiment_avg                                     float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
ov_sentiment_avg                                      float64      1             0.215767             0.215767             0.215767             0.215767             0.215767             0.215767     
response_rate_pull_request_comment                    float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
mean_days_to_respond_pull_request_comment             float64      1             0.003553             0.003553             0.003553             0.003553             0.003553             0.003553     
mean_days_to_respond_to_last_comment                  float64      1             0.003553             0.003553             0.003553             0.003553             0.003553             0.003553     
pull_request_comment_pos_sentiment_avg                float64      1              0.16225              0.16225              0.16225              0.16225              0.16225              0.16225     
pull_request_comment_neg_sentiment_avg                float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                 float64      1              0.32365              0.32365              0.32365              0.32365              0.32365              0.32365     
pull_request_opened_pos_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_neg_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_ov_sentiment_avg                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
avg_pull_request_comment_count                        float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_count                                    float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_pull_request_comment_exclude_opener_count         float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_exclude_opener_count                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

