File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/important_degree_z2/rolling5/shuup___shoop.parquet

MD5 hash: df78782b83cdcc2b9a326f3534cbe7fa

Keys: time_period 

                                                         type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                    datetime64[ns]      5  2016-12-31 04:48:00  2016-01-01 00:00:00  2016-07-01 00:00:00  2017-01-01 00:00:00  2017-07-01 00:00:00  2018-01-01 00:00:00     
response_rate                                         float64      1             0.428571             0.428571             0.428571             0.428571             0.428571             0.428571     
mean_days_to_respond                                  float64      1             0.233908             0.233908             0.233908             0.233908             0.233908             0.233908     
pos_sentiment_avg                                     float64      1             0.097405             0.097405             0.097405             0.097405             0.097405             0.097405     
neg_sentiment_avg                                     float64      1             0.333849             0.333849             0.333849             0.333849             0.333849             0.333849     
ov_sentiment_avg                                      float64      1            -0.049202            -0.049202            -0.049202            -0.049202            -0.049202            -0.049202     
response_rate_pull_request_comment                    float64      1             0.428571             0.428571             0.428571             0.428571             0.428571             0.428571     
mean_days_to_respond_pull_request_comment             float64      1             0.233908             0.233908             0.233908             0.233908             0.233908             0.233908     
mean_days_to_respond_to_last_comment                  float64      1             0.233908             0.233908             0.233908             0.233908             0.233908             0.233908     
pull_request_comment_pos_sentiment_avg                float64      1             0.156923             0.156923             0.156923             0.156923             0.156923             0.156923     
pull_request_comment_neg_sentiment_avg                float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                 float64      1             0.084692             0.084692             0.084692             0.084692             0.084692             0.084692     
pull_request_opened_pos_sentiment_avg                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_neg_sentiment_avg                 float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
pull_request_opened_ov_sentiment_avg                  float64      1               -0.296               -0.296               -0.296               -0.296               -0.296               -0.296     
pull_request_review_comment_pos_sentiment_avg         float64      1               0.0055               0.0055               0.0055               0.0055               0.0055               0.0055     
pull_request_review_comment_neg_sentiment_avg         float64      1             0.010833             0.010833             0.010833             0.010833             0.010833             0.010833     
pull_request_review_comment_ov_sentiment_avg          float64      1            -0.062233            -0.062233            -0.062233            -0.062233            -0.062233            -0.062233     
avg_pull_request_comment_count                        float64      1             1.428571             1.428571             1.428571             1.428571             1.428571             1.428571     
avg_all_disc_count                                    float64      1             1.428571             1.428571             1.428571             1.428571             1.428571             1.428571     
avg_pull_request_comment_exclude_opener_count         float64      1             1.428571             1.428571             1.428571             1.428571             1.428571             1.428571     
avg_all_disc_exclude_opener_count                     float64      1             1.428571             1.428571             1.428571             1.428571             1.428571             1.428571     
clustering_coefficient                                float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

