File: drive/output/derived/project_outcomes/project_outcomes_major_months3_unimp.parquet

MD5 hash: 65106f20ead2a684a2d4f5f14989c857

Keys: repo_name time_period 

                                                     type   count unique                           mean                  min                  25%                  50%                  75%                  max              std
repo_name                                          object  204120   6191                                                                                                                                                         
time_period                                datetime64[ns]  204120         2021-06-30 11:55:42.645502720  2015-01-01 00:00:00  2018-04-01 00:00:00  2020-07-01 00:00:00  2022-07-01 00:00:00  2061-01-01 00:00:00                 
prs_opened                                        float64  204120                              1.027034                  0.0                  0.0                  0.0                  0.0               1170.5         8.362377
avg_prs_opened                                    float64  204120                              0.177589                  0.0                  0.0                  0.0                  0.0                 98.0         0.939616
commits                                           float64  204120                              2.877778                  0.0                  0.0                  0.0                  0.0               2332.0        22.450251
avg_commits                                       float64  204120                              0.594605                  0.0                  0.0                  0.0                  0.0                392.0         3.594872
commit_additions                                  float64  204120                           5645.758343                  0.0                  0.0                  0.0                  0.0          124246878.0    325646.719844
avg_commit_additions                              float64  204120                            626.567062                  0.0                  0.0                  0.0                  0.0          15530859.75      41307.43771
commit_deletions                                  float64  204120                           3398.578689                  0.0                  0.0                  0.0                  0.0           19097552.0    131736.141407
avg_commit_deletions                              float64  204120                            392.796752                  0.0                  0.0                  0.0                  0.0            6705751.0     22220.730125
commit_changes_total                              float64  204120                           9044.337032                  0.0                  0.0                  0.0                  0.0          124428480.0    397961.153934
avg_commit_changes_total                          float64  204120                           1019.363814                  0.0                  0.0                  0.0                  0.0           15553560.0     51972.846617
commit_files_changed_count                        float64  204120                             47.086547                  0.0                  0.0                  0.0                  0.0             356575.0      1647.183434
avg_commit_files_changed_count                    float64  204120                              5.196112                  0.0                  0.0                  0.0                  0.0            44571.875       186.951661
pr_commits                                        float64  204120                              1.508333                  0.0                  0.0                  0.0                  0.0               1840.0        12.971267
avg_pr_commits                                    float64  204120                              0.246843                  0.0                  0.0                  0.0                  0.0                 98.0         1.262724
pr_commit_additions                               float64  204120                           3590.444508                  0.0                  0.0                  0.0                  0.0           57544434.0    184419.400597
avg_pr_commit_additions                           float64  204120                            260.174475                  0.0                  0.0                  0.0                  0.0           7193054.25     21473.454532
pr_commit_deletions                               float64  204120                           1855.502665                  0.0                  0.0                  0.0                  0.0           18252899.0     78840.259747
avg_pr_commit_deletions                           float64  204120                            111.487017                  0.0                  0.0                  0.0                  0.0            1996919.0      5781.089774
pr_commit_changes_total                           float64  204120                           5445.947173                  0.0                  0.0                  0.0                  0.0           57624025.0    236303.270778
avg_pr_commit_changes_total                       float64  204120                            371.661492                  0.0                  0.0                  0.0                  0.0          7203003.125     23878.002202
pr_commit_files_changed_count                     float64  204120                             27.994508                  0.0                  0.0                  0.0                  0.0             187090.0      1171.059102
avg_pr_commit_files_changed_count                 float64  204120                              1.871218                  0.0                  0.0                  0.0                  0.0             23386.25        76.687033
push_commits                                      float64  204120                              1.369444                  0.0                  0.0                  0.0                  0.0               1456.0        13.530801
avg_push_commits                                  float64  204120                              0.347761                  0.0                  0.0                  0.0                  0.0                392.0         3.012345
push_commit_additions                             float64  204120                           2055.313835                  0.0                  0.0                  0.0                  0.0           66702444.0    179965.412863
avg_push_commit_additions                         float64  204120                            366.392587                  0.0                  0.0                  0.0                  0.0            8337805.5     25354.830529
push_commit_deletions                             float64  204120                           1543.076024                  0.0                  0.0                  0.0                  0.0           19097552.0     100423.66418
avg_push_commit_deletions                         float64  204120                            281.309735                  0.0                  0.0                  0.0                  0.0            6705751.0     21318.874574
push_commit_changes_total                         float64  204120                           3598.389859                  0.0                  0.0                  0.0                  0.0           66804455.0     242675.80655
